datetime,open,high,low,close,volume
2025-02-25 15:57:00,6334.204,6334.754,6333.653,6333.653,1466
2025-02-25 15:58:00,6333.102,6333.653,6332.001,6332.552,3548
2025-02-25 15:59:00,6332.552,6333.653,6331.45,6333.653,2036
2025-02-25 16:00:00,6333.653,6334.754,6332.001,6334.754,1706
2025-02-25 16:01:00,6334.754,6334.754,6333.102,6334.204,1560
2025-02-25 16:02:00,6333.653,6334.204,6332.552,6333.102,1922
2025-02-25 16:03:00,6332.552,6333.653,6332.552,6333.653,1377
2025-02-25 16:04:00,6333.102,6334.204,6332.552,6333.102,4934
2025-02-25 16:05:00,6333.102,6334.754,6333.102,6334.754,1868
2025-02-25 16:06:00,6334.754,6337.507,6334.754,6337.507,5472
2025-02-25 16:07:00,6337.507,6339.159,6336.957,6337.507,6125
2025-02-25 16:08:00,6337.507,6338.058,6336.406,6338.058,1519
2025-02-25 16:09:00,6337.507,6338.608,6337.507,6338.058,1605
2025-02-25 16:10:00,6337.507,6339.159,6336.957,6338.058,5681
2025-02-25 16:11:00,6338.058,6339.159,6337.507,6338.608,3366
2025-02-25 16:12:00,6338.058,6341.912,6338.058,6340.26,11497
2025-02-25 16:13:00,6340.811,6340.811,6339.71,6340.26,2774
2025-02-25 16:14:00,6340.26,6341.912,6339.71,6341.361,3273
2025-02-25 16:15:00,6341.912,6343.564,6341.361,6341.912,7987
2025-02-25 16:16:00,6342.463,6342.463,6340.26,6340.26,4480
2025-02-25 16:17:00,6340.26,6340.811,6339.159,6339.71,2832
2025-02-25 16:18:00,6339.71,6341.361,6338.608,6339.71,5192
2025-02-25 16:19:00,6339.71,6339.71,6338.058,6339.159,6847
2025-02-25 16:20:00,6338.608,6339.71,6335.855,6337.507,6904
2025-02-25 16:21:00,6337.507,6338.608,6336.406,6336.406,2041
2025-02-25 16:22:00,6336.957,6337.507,6336.406,6336.957,1937
2025-02-25 16:23:00,6336.406,6336.957,6334.754,6335.305,3968
2025-02-25 16:24:00,6334.754,6336.406,6334.754,6336.406,1326
2025-02-25 16:25:00,6335.855,6338.608,6335.855,6338.058,3268
2025-02-25 16:26:00,6338.058,6339.159,6336.957,6339.159,2220
2025-02-25 16:27:00,6339.159,6340.811,6338.608,6340.26,3989
2025-02-25 16:28:00,6340.811,6340.811,6339.71,6339.71,3132
2025-02-25 16:29:00,6340.26,6340.811,6338.058,6338.608,4486
2025-02-25 16:30:00,6339.159,6339.71,6336.957,6337.507,5884
2025-02-25 16:31:00,6336.957,6337.507,6335.855,6336.957,2316
2025-02-25 16:32:00,6336.957,6338.058,6336.406,6337.507,1069
2025-02-25 16:33:00,6337.507,6338.058,6336.957,6337.507,1749
2025-02-25 16:34:00,6336.957,6337.507,6335.855,6336.406,1376
2025-02-25 16:35:00,6335.855,6336.957,6335.855,6336.406,1114
2025-02-25 16:36:00,6336.406,6336.957,6335.305,6336.957,969
2025-02-25 16:37:00,6336.406,6336.957,6334.754,6335.855,2516
2025-02-25 16:38:00,6336.406,6336.406,6335.855,6336.406,340
2025-02-25 16:39:00,6335.855,6336.957,6335.855,6336.406,1128
2025-02-25 16:40:00,6336.406,6336.957,6333.102,6333.653,6261
2025-02-25 16:41:00,6333.653,6334.754,6332.001,6332.001,4663
2025-02-25 16:42:00,6332.001,6334.204,6331.45,6333.653,3540
2025-02-25 16:43:00,6333.653,6334.754,6332.552,6334.204,1968
2025-02-25 16:44:00,6334.204,6334.754,6333.653,6334.204,698
2025-02-25 16:45:00,6334.754,6335.305,6333.653,6334.754,2434
2025-02-25 16:46:00,6334.754,6335.305,6331.45,6334.204,5917
2025-02-25 16:47:00,6334.204,6334.204,6333.102,6333.102,579
2025-02-25 16:48:00,6333.102,6333.653,6332.552,6333.102,1347
2025-02-25 16:49:00,6333.653,6333.653,6332.552,6332.552,1343
2025-02-25 16:50:00,6333.102,6333.102,6331.45,6331.45,1797
2025-02-25 16:51:00,6332.001,6333.653,6331.45,6333.653,1956
2025-02-25 16:52:00,6333.102,6334.204,6333.102,6334.204,1355
2025-02-25 16:53:00,6334.204,6335.305,6333.653,6335.305,2424
2025-02-25 16:54:00,6334.754,6335.305,6333.653,6333.653,1855
2025-02-25 16:55:00,6333.653,6338.608,6333.653,6337.507,10563
2025-02-25 16:56:00,6337.507,6337.507,6335.305,6335.305,2487
2025-02-25 16:57:00,6335.855,6338.058,6334.754,6337.507,3877
2025-02-25 16:58:00,6337.507,6338.058,6337.507,6338.058,725
2025-02-25 16:59:00,6338.058,6338.608,6337.507,6338.608,2220
2025-02-25 17:00:00,6338.058,6340.811,6338.058,6340.26,6937
2025-02-25 17:01:00,6339.71,6340.811,6339.71,6340.811,2617
2025-02-25 17:02:00,6340.811,6340.811,6340.26,6340.811,1398
2025-02-25 17:03:00,6340.811,6343.564,6339.71,6341.912,7155
2025-02-25 17:04:00,6341.361,6342.463,6341.361,6342.463,1939
2025-02-25 17:05:00,6342.463,6342.463,6339.71,6339.71,2406
2025-02-25 17:06:00,6339.71,6340.811,6339.71,6339.71,1455
2025-02-25 17:07:00,6340.26,6340.811,6339.71,6339.71,778
2025-02-25 17:08:00,6340.26,6340.26,6339.159,6339.71,702
2025-02-25 17:09:00,6340.26,6340.26,6339.159,6339.71,1203
2025-02-25 17:10:00,6340.26,6340.26,6338.058,6338.608,3132
2025-02-25 17:11:00,6339.159,6339.159,6338.608,6338.608,987
2025-02-25 17:12:00,6339.159,6339.159,6338.058,6338.608,1646
2025-02-25 17:13:00,6338.608,6339.71,6338.058,6339.71,1980
2025-02-25 17:14:00,6339.71,6340.26,6338.058,6338.608,3353
2025-02-25 17:15:00,6339.159,6339.71,6338.608,6339.159,1249
2025-02-25 17:16:00,6339.71,6339.71,6338.608,6339.159,621
2025-02-25 17:17:00,6339.71,6339.71,6338.608,6339.71,593
2025-02-25 17:18:00,6339.71,6339.71,6338.608,6338.608,589
2025-02-25 17:19:00,6339.159,6339.71,6338.608,6339.159,1829
2025-02-25 17:20:00,6339.159,6340.811,6339.159,6339.71,1609
2025-02-25 17:21:00,6339.71,6340.26,6339.159,6340.26,778
2025-02-25 17:22:00,6339.71,6340.811,6338.608,6339.71,2437
2025-02-25 17:23:00,6340.26,6340.26,6339.159,6339.71,793
2025-02-25 17:24:00,6340.26,6340.26,6339.159,6339.71,513
